OTAZKA;A;B;C;D;Spravna odpoved;Vysvetleni
Specifičnost pedagogiky oproti ostatním sociálním vědám tkví především v tom, že pedagogika;se opírá pouze o kvantitativní výzkum;má svoje vlastní ministerstvo;zkoumá jen školu, žáky a učitele;zkoumá, plánuje a popisuje nejlepší výchovu;D;Pedagogika je normativní i explanační věda: nejen popisuje edukační realitu, ale také formuluje cíle, normy a doporučení pro výchovu a vzdělávání.
Mezi alternativní školské koncepty nepatří;Jenská škola;Waldorfská škola;Steinerova škola;Freinetova škola;C;"Steiner není samostatný školský koncept; Rudolf Steiner je zakladatelem waldorfské pedagogiky."
Současný výukový dialog na druhém stupni základní školy mívá podle výzkumů nejčastěji podobu;monologickou;debatní;diskusní;dialogickou;A;Typická školní komunikace je často řízena učitelem a má monologický či pseudodialogický charakter.
Socioekonomický status se nejlépe popisuje pomocí složek;pohlaví a příjem;kulturní úroveň a příjem;pohlaví, národnost, rasa a politická orientace;kulturní kapitál, sociální kapitál a ekonomický kapitál;D;SES zahrnuje ekonomické zdroje, sociální vazby a kulturní/ vzdělanostní zdroje rodiny.
Otázky nižší kognitivní náročnosti jsou zejména otázky, které;jsou zaměřeny na tvůrčí aplikaci faktu;jsou vždy uzavřené;jsou vždy otevřené;jsou zaměřeny na doslovné vybavení faktu;D;Nižší kognitivní náročnost typicky odpovídá zapamatování a reprodukci informací.
Průměrná pauza mezi replikou žáka a zpětnou vazbou učitele bývá ve výuce často;přibližně dvě sekundy;přibližně čtyři sekundy;přibližně tři sekundy;méně než sekundu;D;"Učitelé často reagují velmi rychle; prodloužení čekacího času podporuje promyšlenější odpovědi žáků."
Profesní identita učitele;je součástí profesního sebepojetí učitele a rozvíjí se zkušeností, reflexí a sociálním uznáním;vzniká automaticky přijetím na učitelský obor;je dána jen autoritou učitele ve třídě;doposud neexistuje, protože není vymezena kariérním řádem;A;Profesní identita je dynamické sebepojetí v profesní roli, nikoli jen formální status.
Bloomova taxonomie kognitivních operací v revidovaném pořadí je;zapamatování, vybavování, aplikování, analyzování, hodnocení, tvoření;zapamatování, porozumění, aplikování, analyzování, tvoření, hodnocení;zapamatování, porozumění, aplikování, analyzování, hodnocení, tvoření;zapamatování, porozumění, analyzování, aplikování, hodnocení, tvoření;C;"Revidovaná taxonomie postupuje od zapamatování k tvoření; hodnocení je před tvořením."
Kurikulum vymezuje nejlépe;učební plán, osnovy a zkušenost jedince ve vzdělávací instituci;pouze obsah vzdělávacího programu;pouze vše, co se odehrává ve škole;jen povinné standardy formálního vzdělávání;A;Kurikulum lze chápat užší i širší formou: jako plánovaný obsah i jako zkušenost získávanou ve škole.
Termín zóna nejbližšího vývoje označuje;oblast učiva určenou výhradně osnovami;část RVP, která se má probírat v dané hodině;vzdálenost mezi aktuální úrovní výkonu a potenciální úrovní výkonu s pomocí;proces automatického zrání bez podpory druhých;C;Vygotského pojem zdůrazňuje, co žák zvládne s podporou kompetentnější osoby.
