OTAZKA;A;B;C;D;Spravna odpoved;Vysvetleni
Pojmem prelingválně neslyšící osoba se označuje;osoba, u níž se sluch po nedonošenosti vyvinul;osoba neslyšící od narození nebo se ztrátou sluchu před dokončením vývoje řeči;neslyšící osoba, u které není možný žádný vývoj řeči;osoba, která ztratila sluch v 7. roce života;B;Prelingvální ztráta sluchu nastává před osvojením mluvené řeči nebo před dokončením jejího vývoje.
Pojmem děti se syndromem CAN se označují;děti týrané, zneužívané a zanedbávané;děti s poruchou autistického spektra;děti úzkostné a šikanované;děti s poruchou pohybového ústrojí;A;CAN je Child Abuse and Neglect, tedy syndrom týraného, zneužívaného a zanedbávaného dítěte.
Mezi poruchy autistického spektra patří;Aspergerův syndrom;Stockholmský syndrom;Turnerův syndrom;Tourettův syndrom;A;"Aspergerův syndrom historicky patřil do okruhu PAS; ostatní možnosti označují jiné syndromy."
O mentálním postižení se tradičně mluví, má-li jedinec IQ přibližně;80 a méně;75 a méně;69 a méně;65 a méně;C;V tradiční klasifikaci se hranice mentálního postižení uvádí přibližně pod IQ 70.
Specificky narušený vývoj řeči se sníženou schopností verbálně komunikovat při dobrých podmínkách pro rozvoj řeči se nazývá;dyslexie;dysartrie;vývojová dysfázie;afázie;C;Vývojová dysfázie je specificky narušený vývoj řeči, nikoli získaná ztráta řeči nebo porucha artikulace.
Předmět prostorová orientace a samostatný pohyb se zřizuje hlavně pro žáky;s tělesným postižením;s mentálním postižením;se zrakovým postižením;s autismem;C;Prostorová orientace a samostatný pohyb jsou klíčové dovednosti žáků se zrakovým postižením.
Mezi specifické poruchy učení nepatří;dyspraxie;dyslalie;dyskalkulie;dysmuzie;B;Dyslalie je porucha výslovnosti, nikoli specifická porucha učení.
Správný první postup při podezření na šikanu ve třídě je;ochránit oběť, informovat vedení školy, pozorovat a sbírat důkazy, zajistit svědky;hned oznámit policii bez zajištění bezpečí oběti;vyslechnout celou třídu najednou;nejprve veřejně konfrontovat agresora před třídou;A;Prioritou je bezpečí oběti, koordinace s vedením a citlivé zjišťování informací bez další viktimizace.
Charakteristika: dítě zaměňuje tvarově podobná písmena, písmo je neobratné, píše pomalu a nedodržuje lineaturu. Jde typicky o;dyslalii;dysgrafii;dyskalkulii;dyslexii;B;Popis odpovídá dysgrafii, tedy specifické poruše grafického projevu/písma.
Tři hlavní projevy ADHD jsou;hyperaktivita, impulzivita a porucha pozornosti;dyslexie, dysgrafie a dyskalkulie;nízké IQ, afázie a mutismus;ztráta sluchu, koktavost a slepota;A;ADHD se projevuje zejména nepozorností, hyperaktivitou a impulzivitou.
