OTAZKA;A;B;C;D;Spravna odpoved;Vysvetleni
A company has a Primary Management Server and one Secondary Management Server. An administrator publishes a large set of object changes on the Primary and then immediately checks the Secondary. Which statement best describes what should and should not synchronize in a normal Management HA state?;Published changes synchronize to the peer, while unpublished sessions do not synchronize;Only unpublished sessions synchronize immediately because they are still in the administrator database;Both published and unpublished changes synchronize because the peer must be identical at all times;Only policy packages synchronize, while objects and administrator sessions never synchronize;A;Management HA synchronization is tied to published database changes. Automatic synchronization is initiated after a session on the Active Management Server is published. Unpublished sessions are intentionally not synchronized, which is a common exam trap because SmartConsole may show local session changes before they are part of the shared database.
During a maintenance window, the Active Management Server is shut down unexpectedly. The Standby Management Server is healthy and fully synchronized. What is the correct operational expectation for failover?;The Standby becomes Active automatically after missing three synchronization intervals;The Security Gateways elect the Standby Management Server as Active automatically;Failover occurs only after cpstart is run on every managed Gateway;An administrator must manually perform a changeover from SmartConsole;D;Management HA does not perform automatic failover. A Standby server is ready to take over, but the changeover is a manual administrator action through the Management High Availability menu. This differs from traffic cluster failover and is therefore a frequent trick question.
A Standby Management Server is changed to Active while it cannot communicate with the original Active server. Later the original server comes back online and still believes it is Active. What state has been created?;Split policy mode, where Gateways select the newest policy from both servers;Read-only mode, where both servers become Standby until SIC is reset;Collision mode, where more than one Management Server is Active and synchronization stops;Distributed log mode, where only logging is affected and management remains normal;C;This is Collision Mode. In a normal Management HA deployment only one server should be Active. If two servers are Active, they do not synchronize. The situation must be manually corrected, usually by choosing which server should remain Active and synchronizing the peer.
An administrator wants to force a Management HA synchronization because the peer was offline during earlier published changes. What is the main difference between manual synchronization and normal automatic synchronization?;Manual synchronization only sends changed objects and never policy packages;Manual synchronization can synchronize unpublished sessions if the administrator is logged in;Manual synchronization performs a full synchronization on demand;Manual synchronization changes the synchronization interval for future updates;C;Automatic synchronization can be incremental after the initial full sync. Manual synchronization is used on demand and supports full synchronization. It does not change the synchronization settings and it does not include unpublished sessions.
While creating the Check Point Host object for a Secondary Management Server, the administrator establishes SIC before enabling Network Policy Management. The peer does not synchronize correctly. What is the likely corrective action?;Reset SIC on the Secondary Management Server and establish SIC again after enabling Network Policy Management;Enable Identity Awareness because all Management HA peers require identity sharing;Run fw fetch localhost on the Secondary Management Server;Convert the Secondary Management Server into a Log Server object and then back to a host;A;The course workflow stresses that Network Policy Management must be enabled before completing the communication step. If it is not enabled before the next step, SIC must be reset on the Secondary and re-established so the servers can synchronize correctly.
After adding a Secondary Management Server object and successful initial synchronization, Gateways still fetch policy only from the original Primary. What configuration step was most likely missed?;Adding the Secondary Management Server to the Fetch Policy list on the Gateway or Cluster object;Adding the Secondary Management Server to the VPN community as a center Gateway;Running migrate_server import on the Gateway;Disabling automatic synchronization in Global Properties;A;Management HA synchronization of the management database is not the same as Gateway reconfiguration. The Gateway or Cluster object must be updated so it can fetch policy from the Secondary Management Server. Log settings and database or policy installation are also part of the workflow.
A Secondary Management Server is synchronized and visible in SmartConsole. An administrator connects directly to it before a changeover. What behavior should be expected in a healthy normal state?;The administrator gets full read and write access because the database is synchronized;The session is Read Only because the Secondary is Standby;The session is blocked unless the Primary is unreachable;The Secondary automatically asks whether it should become Active;B;Standby Management Servers operate passively and in Read Only mode. They can be inspected, but management changes are performed on the Active server unless a manual changeover is done and the administrator reconnects to the new Active server.
A new SmartConsole connection to the Secondary Management Server shows a fingerprint that differs from the Primary Management Server fingerprint. Which interpretation is correct?;This is expected because each Management Server has its own fingerprint;This proves that the Secondary was not synchronized;This means the Secondary must use the same SIC activation key as the Primary forever;This indicates that the Secondary is in Collision Mode;A;The fingerprint identifies the specific server that SmartConsole is connecting to. Different Management Servers have different fingerprints. The course lab even asks the administrator to notice that the Secondary has a different fingerprint from the Primary.
In the Management HA deployment workflow, which sequence best matches the high-level order expected by the course material?;Configure Gateways first, test failover second, deploy the Secondary last;Install policy first, publish changes second, create the Secondary object third;Deploy the Secondary Management Server, configure Gateway or Cluster objects, then verify the Management HA solution;Create a VPN community, import a database, then run First Time Configuration Wizard;C;The high-level workflow is divided into three parts. First deploy the Secondary Management Server. Second configure the Security Gateway or Cluster object. Third verify the Management HA solution. Many individual tasks exist inside those parts, but this is the exam-level structure.
In a failover test, the original Active Management Server has Check Point processes stopped with cpstop. The Secondary is set Active and reports that changeover succeeded with errors because the peer was not switched to Standby. What is the real risk when cpstart is later run on the original server?;The original server deletes all synchronized policies because cpstop clears the database;The original server may return as Active, producing an Active-Active collision state;The Secondary automatically formats its logs to avoid duplicate log IDs;The Security Gateways automatically switch to local policy only;B;Because the original Active could not be contacted during the changeover, it was not changed to Standby. When its Check Point processes start again, it can still be Active. That creates Collision Mode and requires manual recovery and synchronization.
