OTAZKA;A;B;C;D;Spravna odpoved;Vysvetleni
Jaký je hlavní účel Management High Availability v prostředí Check Point?;Automaticky přepisovat NAT pravidla podle zatížení;Zrychlit inspekci paketů rozložením provozu mezi brány;Nahradit ClusterXL na datové vrstvě firewallu;Zajistit dostupnost správy pomocí více Management Serverů se synchronizovanou databází;D;Management HA řeší vysokou dostupnost správy a konzistence management databází, nikoli forwarding provozu na gatewayích.
Co se v Management HA synchronizuje ze serveru Active na server Peer nebo Standby?;Pouze lokální Gaia uživatelé a hesla;Publikované změny v databázi Management Serveru;Nepublikované rozpracované změny administrátora;Pouze logy z Security Gatewayí;B;Synchronizace se vztahuje na publikované změny v management databázi. Nepublikované sessions se nesynchronizují.
Jak se chová automatická synchronizace po počátečním nasazení Management HA?;Nejprve proběhne úplná synchronizace a následně se synchronizují jen změny;Synchronizuje se pouze objekt Security Gateway;Synchronizují se jen změny v Global Properties;Vždy probíhá jen ruční synchronizace;A;Po prvotním nasazení se provede full sync. Další automatické synchronizace přenášejí změny od poslední synchronizace.
Kdy se typicky použije ruční synchronizace v Management HA?;Když chce administrátor synchronizovat pouze jednu policy package;Když je potřeba obejít publikování session;Když se má vypnout Active Management Server;Když je potřeba spustit úplnou synchronizaci na vyžádání;D;Manual synchronization je full synchronizace spuštěná administrátorem, například při problémech s automatickou synchronizací.
Může administrátor v běžném nastavení měnit parametry synchronizace Management HA?;Ano, interval a typ synchronizace se nastavuje v každém policy package;Ne, synchronizační nastavení jsou předkonfigurovaná;Ano, ale pouze přes SmartView Monitor;Ano, vždy přes příkaz dynamic_objects;B;Studijní materiál uvádí, že synchronization settings jsou předkonfigurované a administrátor je nemění.
Co se stane s nepublikovanou session administrátora v prostředí Management HA?;Převede se na audit log a aplikuje se na gateway;Synchronizuje se pouze pokud je otevřená SmartConsole;Automaticky se publikuje při synchronizaci;Nepřenese se na Standby Management Server;D;Management HA synchronizuje publikované změny. Nepublikované změny zůstávají pouze v dané session.
Kde lze ve SmartConsole ověřovat stav Management HA synchronizace a související úlohy?;V Recent Tasks a v části Management High Availability;Pouze v Gaia Portal pod CPUSE;Pouze přes příkaz vpn tu;Pouze v SmartView Web pod Reports;A;V rámci ověření se sledují Recent Tasks, databáze, instalace policy a nastavení Management HA.
Jaký je správný postup po provedení změn v prostředí, které mají být synchronizovány do Management HA?;Změny publikovat a nechat je synchronizovat;Změny ponechat jako draft a restartovat gateway;Spustit pouze cpstop na Standby serveru;Vymazat audit logy, aby se synchronizace nezpomalila;A;Synchronizace vychází z publikovaného stavu databáze. Bez publish se změny na peer server nepřenesou.
Jaký typ synchronizace podporuje ruční synchronizace Management HA?;Úplnou synchronizaci všech dat a konfigurací;Pouze synchronizaci log indexů;Pouze inkrementální synchronizaci posledního pravidla;Pouze synchronizaci SIC certifikátů;A;Manual synchronization je full sync. Inkrementální přenos změn se týká automatické synchronizace po počátečním stavu.
Jaký stav je z hlediska Management HA žádoucí po úspěšné synchronizaci?;Databáze Management Serverů jsou aktuální a konzistentní;Active server přestane generovat audit logy;Standby server má vlastní odlišnou policy;Gatewaye instalují policy pouze ze Standby serveru;A;Smyslem synchronizace je udržet databáze Management Serverů ve shodném a aktuálním stavu.
Kde se na straně Management Serveru běžně spravují Dynamic Objects?;V nabídce Objects nebo přímo z pravidla policy;Pouze v Gaia Portal přes CPUSE;Pouze v SmartEvent Correlation Unit;Pouze v souboru vpn_route.conf;A;Dynamic Objects jsou na management straně objekty dostupné pro pravidla, NAT tabulky a profily.
Jak se Dynamic Objects spravují na straně Security Gateway?;Příkazem vpn tu v Clish módu;Příkazem dynamic_objects v Expert módu;Příkazem fw logswitch;Přes Compliance Dashboard;B;Na gateway straně se používá CLI příkaz dynamic_objects, který se spouští z Expert módu.
Kde se ve SmartConsole spravuje NAT Policy?;V pohledu Security Policies jako část Access Control Policy;V pohledu Logs & Events jako report;V Management High Availability nastavení;Pouze v Gaia Portal na každé gateway;A;NAT Policy je v Check Pointu spravována ve SmartConsole v části Security Policies a je součástí oblasti Access Control.
