OTAZKA;A;B;C;D;Spravna odpoved;Vysvetleni
An administrator starts a policy installation from SmartConsole. The system must first decide whether the change can use an accelerated path or requires a full installation. Which component makes this initial decision?;FWM, because it converts and compiles policy code before transfer;CPD, because it runs on the Security Gateway and receives the policy package;CPM, because it receives the install command and decides between Fast and Full policy installation;CPTA, because it transfers the files and therefore chooses the installation type;C;CPM is the management process that receives the policy install request from SmartConsole or the web service. Based on the changes since the last install, CPM chooses Fast or Full installation. FWM is involved later for verification and conversion when needed, CPTA transfers files, and CPD receives them on the gateway.
A policy installation uses a Modern Dump. Which statement best describes why this can be faster than the legacy path?;The gateway compiles the rulebase locally and does not need files from the Management Server;The dump already contains pre-generated code and does not require further verification or compilation before transfer;The Management Server skips the database dump and transfers only the object UUIDs to the gateway;The installation bypasses CPD and writes policy files directly into the kernel;B;Modern Dump stores information with pre-generated code. Because the relevant data is already pre-verified and pre-generated, it does not need the FWM verification and conversion phase before transfer. It still transfers policy files to the gateway and does not bypass the normal gateway-side installation process.
A Full policy installation includes changes that are not supported by the accelerated install path. What happens to Legacy Dump files in this flow?;They are sent directly to CPD on the Security Gateway without management-side processing;They remain only in the PostgreSQL database and are never written to files;They are used only for backup and restore, not for policy installation;They are passed to FWM for verification, conversion, code generation, and compilation;D;Legacy Dump files require additional work. FWM is responsible for verification and conversion, including checking rules for errors or conflicts and producing code the Security Gateway can load. Modern Dump avoids this extra FWM phase for supported changes.
During the Transfer phase of policy installation, CPTA sends policy files to the Security Gateway. Where are these files first stored on the gateway before they are committed?;$FWDIR/state/__tmp/FW1;$FWDIR/state/local/FW1;$CPDIR/state/__tmp/FW1;$FWDIR/state/<Gateway Name>/FW1;A;CPTA transfers the policy files to a temporary directory on the Security Gateway first, namely $FWDIR/state/__tmp/FW1. After a successful commit, the policy files are moved to the local storage directory $FWDIR/state/local/FW1. The <Gateway Name> path is on the Management Server side.
After a successful policy installation, the gateway must keep a local copy of the policy files for startup and later loading. Which directory is used on the Security Gateway after commit?;$FWDIR/state/__tmp/FW1;$FWDIR/state/<Gateway Name>/FW1;$FWDIR/state/local/FW1;$CPDIR/conf/local/FW1;C;The temporary transfer location is $FWDIR/state/__tmp/FW1. After the policy is loaded successfully into the kernel, the gateway stores the files under $FWDIR/state/local/FW1. On the Management Server, the corresponding compiled files are stored under $FWDIR/state/<Gateway Name>/FW1.
During policy conversion, compiled code is stored on the Security Management Server before transfer. Which location matches that management-side storage?;$FWDIR/state/local/FW1 on the Management Server;$CPDIR/state/local/FW1 on the Management Server;$FWDIR/state/__tmp/FW1 on the Security Gateway;$FWDIR/state/<Gateway Name>/FW1 on the Management Server;D;The management-side compiled policy files are stored in $FWDIR/state/<Gateway Name>/FW1. This is different from the gateway-side temporary directory and the gateway-side local directory. The distinction between management-side and gateway-side paths is a common exam trap.
CPTA has transferred policy files to the Security Gateway. Which gateway-side process receives and stores those files before the policy is loaded into the kernel?;FWD;CPD;FWM;CPM;B;CPD is the Check Point daemon on the Security Gateway side that stores the transferred files in the temporary directory and reports installation status back through the process flow. FWM and CPM are management-side processes in this context, while CPTA performs the transfer.
A gateway administrator wants to manually load policy files from the local gateway storage, not fetch them from a Management Server. Which command matches that goal?;fw fetch <Management address>;fw install localhost;cpstart policy;fw fetch localhost;D;fw fetch localhost loads policy files from the Security Gateway itself. fw fetch <Management address> requests the policy from the Security Management Server. The options fw install and cpstart policy are plausible but not the documented commands for this task.
A rule was edited in SmartConsole but the administrator did not publish the session before installing policy. What should be expected?;The unpublished change is not included in policy installation;The policy installation publishes the session automatically;Only NAT changes require publishing before installation;The gateway receives the unpublished change but the Management Server database does not;A;Unpublished session changes are not included in policy installation. Publishing commits the session to the management database. Policy installation works from the published database state, not from a private unpublished SmartConsole session.
A company wants redundancy for the Security Management Server database and the ability to manually take over management if the active server is unavailable. Which feature is designed for this management-plane requirement?;ClusterXL Load Sharing for Security Management Servers;Management High Availability with one Primary and one or more Secondary Management Servers;ElasticXL because the SMO automatically clones management databases;SmartEvent correlation because it centralizes events from multiple log servers;B;Management HA provides redundancy and database backup for Security Management Servers. It is not the same as ClusterXL or ElasticXL, which protect gateway traffic handling. Management HA has one Primary Management Server and one or more Secondary Management Servers.
A Secondary Management Server is synchronized and healthy. An administrator connects SmartConsole directly to it while it is still in Standby mode. What is the expected behavior?;SmartConsole refuses the login until the server is promoted to Active;The administrator can edit objects but cannot install policy;The session opens in Read Only mode because Standby servers are passive;The session automatically changes the server to Active if the Primary is reachable;C;A Standby Management Server is passive and read only. You can connect to inspect the synchronized database, but editing is not available unless the server is changed to Active. Takeover is a manual administrative action and is not automatic.
In Management HA, an administrator initiates manual synchronization after suspecting that automatic synchronization did not complete properly. What type of synchronization can manual synchronization perform?;Only delta synchronization of changes since the last successful sync;A selectable full or delta synchronization depending on the administrator choice;A policy-only synchronization that excludes objects and users;A full synchronization of all data and configurations;D;Automatic synchronization can synchronize changes after the initial full synchronization. Manual synchronization is on demand and only supports full synchronization of all data and configurations. This is a classic distinction between automatic and manual sync.
Two Management Servers in the same Management HA environment both believe they are Active after one was promoted while connectivity to the original Active server was down. What is this state called?;Collision Mode;Split Policy Mode;Dual Sync Mode;Standby Override Mode;A;Collision Mode occurs when more than one Management Server is Active in a Management HA environment. In normal operation only one server should be Active. When in collision, the servers do not synchronize until the situation is manually resolved.
A Primary Management Server fails. The Secondary Management Server is synchronized and reachable. Which statement about failover is most accurate?;The Secondary becomes Active automatically after the next synchronization interval;An administrator must manually initiate the changeover in SmartConsole;The gateways elect the Secondary server using ClusterXL state information;The Secondary becomes Active only after the Primary object is deleted;B;Management HA failover is not automatic. An administrator performs the changeover through SmartConsole, typically from the Management High Availability menu. This differs from gateway clustering, where traffic failover can be automatic.
After adding a Secondary Management Server, gateways must be adjusted so they can work with it. Which combination is most relevant?;Add the Secondary to VPN communities and configure it as a satellite gateway;Enable Identity Awareness on the Secondary and install Threat Prevention only;Add the Secondary as a management station for fetching policy, configure logging, install database, and install policy;Change the Primary Management Server to a Log Server object and delete the original SIC trust;C;Gateways or cluster objects must know that the Secondary Management Server can be used for policy fetch and logging. The typical workflow includes configuring Fetch Policy settings, backup log server settings where applicable, publishing, installing database, and installing policy.
An administrator wants to check which Management Server is currently Active in a Management HA deployment. Where is this checked in SmartConsole?;Logs & Monitor > SmartEvent Events > Management HA;GATEWAYS & SERVERS > Cluster Members > HA State;MANAGE & SETTINGS > Package Repository > HA Status;Applications menu > Management High Availability;D;The Management High Availability status window is opened from the SmartConsole Applications menu. It shows the connected server, peers, and their Active or Standby status. Gaia Portal and SmartUpdate are plausible but not the documented location for this status.
A Secondary Management Server has just completed initial synchronization. An administrator connects to it and sees the same rules as on the Primary, but cannot change them. What does this prove?;The Secondary is synchronized and operating as Standby in Read Only mode;The Secondary has become Active but policy installation is disabled;The Secondary object was created as a Log Server only;The Primary has lost SIC with the Secondary;A;Seeing the synchronized policy while being unable to edit is expected when connected to a Standby Management Server. It confirms database synchronization and read-only Standby behavior. It does not by itself indicate a failure.
After a Management HA collision, the recovered original server is Active, but another server also has newer changes made while it was Active. What is the safest operational approach before using the recovered server as Active again?;Delete the peer object and recreate SIC from the recovered server;Assume the most recently Active server has changes, set the recovered peer to Standby, and synchronize properly;Install policy from both servers so gateways choose the newer database;Disable automatic synchronization and rely on manual policy fetch;B;After a collision, there can be changes on the server that was recently Active. The safe approach is to resolve the collision deliberately, typically by setting the recovered peer to Standby and synchronizing from the server that has the desired current database. Installing policy from both active servers can worsen inconsistency.
