OTAZKA;A;B;C;D;Spravna odpoved;Vysvetleni
Mezi uvedenými příklady výukových cílů vyber jeden vágní (nevýkonový):;Porozumět.;Demonstrovat.;Vytvořit.;Napsat.;A;
Významnou taxonomii výukových cílů vytvořil:;P. Peterson.;J. A. Komenský.;R. Steiner.;B. Bloom.;D;
Disciplína pedagogická evaluace se zabývá:;výhradně klasifikací žáků.;posuzováním kvality práce škol a vzdělávacích procesů.;studiem historického vývoje pedagogiky a didaktiky.;systémy vzdělávání učitelů.;B;
Mezi uvedenými příklady motivace ve vyučování vyberte příklad vnitřní motivace:;Obavy z neúspěchu.;Probuzený zájem o učivo.;Možnost získání odměny za dobré vysvědčení.;Strach ze špatné známky.;B;
"Organizační forma učení, při které žáci zpravidla řeší komplexní (často skutečné) problémy; nahlížejí je z mnoha stran – například prizmatem několika různých oborů, se nazývá:";transmisivní vyučování.;individualizované vyučování.;projektové vyučování.;diferencované vyučování.;C;
Psychodidaktika je:;"oborová didaktika zaměřená na výuku psychologie – historie oboru; jednotlivé psychologické školy, teorie a systémy; terapie; aj.";patopsychologická disciplína zabývající se diagnostikou a prevencí duševních onemocnění u dětí a mladistvých ve školním prostředí.;interdisciplinární teorie, která integruje a uvádí ve vztah výsledky z obecné didaktiky, kognitivní psychologie, psychologie učení, aj.;speciální metoda vycházející z behavioristické psychologie umožňující rychlé a efektivní zapamatování učiva.;C;
Požadavky na vědeckost, názornost, postupnost, systematičnost, individuální přístup, spojení teorie s praxí, soustavnost, přiměřenost, atd. patří mezi:;výukové formy.;obecné vzdělávací cíle.;klíčové kompetence.;didaktické (pedagogické) zásady.;D;
Pojem edukace nejpřesněji vystihuje definice:;výchovně-vzdělávací proces.;srovnávací metoda hodnocení odlišných vzdělávacích systémů.;hodnocení naplnění výchovně-vzdělávacích cílů.;soustavná, systematická a vnitřně koherentní příprava na vyučování.;A;
Zkratka kurikulárního dokumentu, který je závazný pro MŠ, ZŠ a SŠ v ČR je:;RVP.;VUP.;OPVK.;MŠMT.;A;
Soubor požadavků na vzdělávání zahrnující podstatné vědomosti, dovednosti a schopnosti univerzálně použitelné v běžných pracovních a životních situacích nazýváme:;kurikulum.;didaktický cíl.;didaktický princip.;klíčové kompetence.;D;
Brainstorming je:;experimentální metoda behavioristické psychologie (pokusné subjekty se učí pomocí elektrických výbojů do mozku).;jedna z technik rozvíjející tvořivé myšlení například při skupinovém řešení problému.;psycho-didaktická metoda výcviku paměti vycházející z poznatků neurologie.;metoda aktivizace duševních a intelektových schopností pomocí pohybu a sportu.;B;
Heuristická výuková metoda je:;výcvik drilem.;"aktivizační výuková metoda realizovaná pomocí úloh, které představují obtíž–problém–rozpor; žák se učí „nalézáním“ nových řešení pomocí již získaných vědomostí.";jiný název pro Sokratovskou dialogickou metodu.;metoda vyučování prostřednictvím PC, tabletů, interaktivních tabulí, mobilních telefonů apod.;B;
Frontální vyučování je, když:;učitel zprostředkovává výklad a dominuje vyučování (nejtradičnější forma vyučování).;se žáci vzdělávají v terénu prostřednictvím přímých zkušeností (výuka prací, zážitková pedagogika, aj.).;žáci pracují ve skupinkách, role učitele je pouze pomocná a instruktážní.;žáci samostatně volí témata výuky a výukové cíle. Činnost učitelů spočívá především v hodnocení a zprostředkováním vhodných pomůcek.;A;
Při didaktické analýze učiva učitel:;provádí diagnostiku žáků (například opravování testů).;vykoná rozbor obsahu a vybírá z něj konkrétní prvky, které bude vhodné zvolenou formou interpretovat žákům.;stanovuje obecné vzdělávací cíle.;rozděluje a přiřazuje učivo podle náročnosti různým skupinám žáků (například na základě jejich kognitivních schopností).;B;
Didaktická transformace učiva je:;způsob, jak zprostředkovat vědecké poznatky žákům (didaktické „zjednodušení“).;kreativní výuková metoda, kdy je učivo přeměněno na obsah dramatického výstupu.;přechod na redukované vyučování.;přizpůsobování obsahu učiva potřebám společnosti (např. požadavkům průmyslu).;A;
Autorem teorie kognitivní disonance je;K. Lewin;L. Festinger;G. E. Müller;M. R. Rosenzweig;B;
Mezi fáze vývoje skupiny nepatří;ukončování;upravování;bouření;formování;B;
Dlouhodobé zkoumání vývoje jedné konkrétní skupiny jedinců probíhá prostřednictvím;průřezové studie;longitudinální studie;kvantitativní studie;kvalitativní studie;B;
Psychická deprivace je;sklon kriminálnímu chování;následkem traumatizující události na začátku školní docházky;dlouhodobé strádání v oblasti psychických potřeba;následkem rozpadu osobnosti jedince;C;
Proces, který zahrnuje všechny nevědomé i vědomé faktory, jež nás vedou k uskutečnění určitých činností a směřování k určitým cílům, můžeme nazvat;maladaptace;akceptace;motivace;atribuce;C;
Která následující formulace nejlépe popisuje Eriksonovu představu nejdůležitějšího vývojového úkolu v mladší dospělosti;vývoj superega;hledání intimity;získání autonomie;hledání integrity;B;
Pro inteligenční kvocient (IQ) neplatí jedno z následujících tvrzení;IQ je ovlivněno pouze dědičností a jeho číselná hodnota během života jedince zůstává konstantní;souhrnné IQ představuje průměrnou hodnotu, která nemůže postihnout individuální specifičnost jednotlivce;u zjištěného IQ se vždy jedná pouze o relativně přesný odhad, odrážející aktuální stav;měření IQ je vždy zatíženo určitou chybou (např. z hlediska typu použitého testu);A;
Mezi základní fáze paměťového procesu nepatří;mentální reprezentace;reprodukce;uchovávání;vštěpování;A;
Pro myšlení dítěte v mladším školním věku neplatí tvrzení;dítě je schopno logicky uvažovat o takových věcech a jevech, které mají abstraktní povahu;postupně je dítě schopno reálnou zkušenost zobecnit, klasifikovat/třídit;vyvíjí se schopnost decentrace, kdy jedinec již nelpí na nápadných nebo jednotlivých vybraných znacích;poznávání se stává objektivnější;A;
Pro tzv. velkou sociální skupinu platí;její členové se osobně znají a intenzivně se stýkají;má cca 25 a více členů;sociální role a pozice jejích členů jsou zcela nepodstatné;vztahy mezi členy jsou častěji zprostředkované a založené např. na pozicích;D;
Takzvané egocentrické myšlení bývá považováno za charakteristiku;dospělého;kojence;adolescenta;předškoláka;D;
Mezi ego-obranné mechanismy nepatří;agrese;projekce;introspekce;rezignace;C;
Autorem teorie attachmentu je;M. Kleinová;J. Bowlby;K. Atkinsnová;J. Piaget;B;
Myšlení (jakožto řešení problémů), které využívá známé způsoby řešení, se nazývá;reproduktivní;deduktivní;intuitivní;produktivní;A;
Pojem „psychosociální moratorium“ se v kontextu vývojové psychologie vztahuje k období:;adolescence;raného stáří;stáří;školního dětství;A;
O předčasném ukončení procesu utváření identity vypovídá;zralá identita;disociální identita;moratorium;přejatá identita;D;
Mezi tzv culture-fair testy inteligence, které nejsou zcela závislé na sociálním kontextu a poněkud lépe tak postihují obecnější faktory inteligence, patří testy;kvantitativní;objektivní;verbální;neverbální;D;
Příkladem sociometrické otázky v sociometrickém dotazníku může být;Kolik máš kamarádů?;Je v této třídě někdo smutný?;S kým bys chtěl(a) sedět v lavici?;Jak jsi oblíbený(á) mezi spolužáky?;C;
Pro takzvanou krystalickou inteligenci v Catellově pojetí platí;je formována vlivem prostředí, učením apod.;je zcela závislá na vrozených dispozicích;představuje základní složku kognitivních procesů;zahrnuje specifické schopnosti jedince;A;
Situaci, kdy jedinec při výkonu své práce prožívá negativní pocity, pociťuje velkou únavu a ztrátu energie a také ideálů nazýváme;hyperbulie;frustrační tolerance;všeobecný adaptační syndrom;burn-out syndrom;D;
Jednání a chování jedinců, které zahrnuje skutky vykonané ve prospěch druhé osoby, nazýváme jako chování;prosociální;autoregulační;proaktivní;stereotypní;A;
Úroveň očekávání vzhledem k svému předpokládanému budoucímu výkonu nazýváme;aspirace;averze;adaptace;prokrastinace;A;
Pro vymezení pojmu persuase neplatí;je to proces ovlivňování chování či názorů jiných lidí;dosahujeme jím postojové změny;ten, koho ovlivňujeme, má možnost přijmout či nepřijmout naše argumenty;je vždy spojen s manipulací;D;
Mezi paralingvistické aspekty verbální komunikace nepatří;akustická výplň přestávek v projevu;přesnost projevu;přestávky v projevu;poloha těla při projevu;D;
Zkoumáním jedinců, jejichž psychika je nějakým způsobem narušena, se zabývá především;psycholingvistika;neuropsychologie;psychopedie;psychopatologie;D;
Mezi tzv. primární emoce nepatří;radost;strach;hněv;afekt;D;
Význam pohádek pro děti předškolního věku nespočívá v;formování temperamentních charakteristik dítěte;předpokládání částečných a pro dítě srozumitelných odpovědí na složité otázky;předpokládání optimistického vidění světa;osvojování řeči či etických norem;A;
Přechod k aktivnímu udržování tělesné čistoty a základům sebeobsluhy je typický pro;novorozence;kojence;batole;předškoláka;B;
Jev, charakterizovatelný jako zaměřenost pozornosti pouze na určité podněty a „nevnímání“ podnětů jiných, nazýváme;intenzita pozornosti;oscilace pozornosti;percepční zkušenost;selektivita pozornosti;D;
Kdo z uvedených autorů se nezabýval morálním vývojem člověka?;Wechsler;Piaget;Kohlberg;Gilliganová;A;
V období okolo 3 let v souvislosti s dětskou kresbou objevuje;dvojdimenzionální kresba;pokus o stínování a perspektivu;kreslení tzv. „hlavonožců“;odlišení kresby muže a ženy;C;
Naše paměť pracuje do jisté míry selektivně. Které informace máme tendenci zapamatovat si hůře;takové, které vyvolávají emoční nebo kognitivní konflikt;takové, které souvisí s našimi zájmy;ty, jež jsou pro nás důležité;ty, které jsou pro nás zajímavé a nové;A;
Stav zklamání, zmarnění, který je většinou vyvolán překážkou na cestě k cíli, ohrožením, oddálením nebo znemožněním uspokojit potřebu, nazýváme;psychická deprivace;frustrace;maladaptace;syndrom vyhoření;B;
Když v nějaké situaci zdánlivě náhodně a náhle přijdeme na její řešení, můžeme hovořit o;vhledu;verifikaci;abstrakci;algoritmizaci;A;
Sebeochranná atribuce je;tendence pozorovatelů připisovat neúspěch sobě samému a úspěch situačním faktor.;tendence aktérů připisovat úspěch sobě samému a neúspěch situačním faktorům;tendence aktérů připisovat neúspěch sobě samému a úspěch situačním faktorům;tendence pozorovatelů připisovat neúspěch sobě samému a úspěch situačním faktor.;B;
Aschova studie konformity pracovala s;sbližováním názorů spolubydlících na kolejích;sbližování stylu oblékání ve skupině;tvorbou skupinových norem ve vývoji skupiny;porovnáním délky vzoru (úsečky) a tří alternativ;D;
Fenomén konformity v sociálních skupinách nemůže být charakterizován;v průběhu sociálního srovnávání např. pomocí strategie maximalizování rozdílů mezi tzv. in-group a out-group skupiny;přidělením alfa sociální role skupinou;jako reakce na frustrující životní situace;jako projev temperamentových vlastností osobnosti;A;
Jméno Alberta Bandury spojujeme s fenoménem;sociálního učení;zvládání zátěže ve škole agresí;nepomáhajícího davu;operantního podmiňování;A;
Které z následujících tvrzení nelze spojit s pojmem stereotyp;naše stereotypy při vnímání jiných se často mění v závislosti na situaci;jedincovo vnímání druhých lidí je ovlivněno jejich členstvím v různých sociálních skupinách stereotyp;jde o zjednodušený způsob rozpoznávání charakteristik členů sociálních skupin;je jednou ze základních kategorií sociální poznávání druhých osob;A;
Konfabulace neboli nepravé lži se objevují nejčastěji v období;batolecím;v adolescenci;předškolním;školním;C;
Způsob užívání jazyka u dětí, kdy chybí sociální funkce řeči a dítě hovoří na sebe, nazýváme v souladu s Piagetovým pojetím;samomluva;pragmatická řeč;egocentrická řeč;vitální řeč;C;
Emocionalitu v časné adolescenci nelze charakterizovat;kolísavým sebehodnocením;zvýšenou emoční labilitou, posuny nálad k negativním rozladám;zvýšenou mírou sebereflexe a egocentričnosti;zvýšenou mírou racionality a schopnosti posunovat chování ostatních;D;
Křivka zapomínání vyjadřuje;množství zapamatovaného v závislosti na čase;pokles kapacity paměti s narůstajícím věkem;vliv opakování na zapomínání;vliv obsahu naučeného na zapomínání;A;
Ego-obranný mechanismus, při němž si jedinec při prožívání frustrací vytváří vlastní „alternativní“ svět, kde zažívá příjemné prožitky, se nazývá;identifikace;zaměření na emoce;únik do fantazie;racionalizace;C;
Tzv. základní atribuční chyba spočívá v;vnímání druhých na základě jejich výrazné vlastnosti;nedostatečně vyvinutém smyslovém vnímání;zdůrazňování nevědomých motivů v komunikaci;tendenci posuzovat vlastní jednání jako důsledek situace, ale jednání druhých jako důsledek jejich dispozičních příčin;D;
Jaké podněty obtížněji upoutávají jedincovu pozornost;ty, které jsou něčím nové a zajímavé;ty, jež mohou uspokojit nějakou z aktuálních potřeb jedince;ty, které jsou alespoň částečně srozumitelné;ty, jež jsou často opakované a nepodstatné;D;
Pro temperament je charakteristické, že;je formován vlivem společnosti;je vnímán spíše jako biologická predispozice;zcela nesouvisí s lidskými emocemi;každý jedinec je přiřaditelný k jednomu „čistému“ typu temperamentu;B;
Mezi základní metody zkoumání v psychologii nepatří;dotazník;kazuistika;interview;selekce;D;
Pro vliv biologických predispozic na formování psychiky jedince neplatí;vliv genetických predispozic je zcela klíčový a jiné faktory jsou pro vývoj člověka téměř nepodstatné;stejně jako fyzickou podobu můžeme od rodičů získat i náchylnost k určitým psychickým poruchám;v různých obdobích života může být vliv genetických dispozic různý;výzkumy naznačují, že vliv genetiky může být silnější na krajních koncích Gaussovy křivky rozložení populace;A;
Ve kterém z následujících bodů je správně naznačen obecný postup řešení problémů;"formulace hypotéz; vytvoření plánu nápravy; identifikace problému; ověření funkčnosti plánu nápravy";"identifikace problému; vytvoření plánu nápravy; formulace hypotéz; ověření funkčnosti plánu nápravy";"identifikace problému; formulace hypotéz; vytvoření plánu nápravy; ověření funkčnosti plánu nápravy";"vytvoření plánu nápravy; identifikace problému; formulace hypotéz; ověření funkčnosti plánu nápravy";C;
Pro kvantitativní metody zkoumání v psychologii je charakteristické;zkoumání jednotlivých případů;využívání rozhovorů;obsahová analýza výpovědí;statistické zpracování dat;D;
Mezi základní typy citové vazby patří;nejistá vyhýbavá, nejistá ambivalentní, jistá;nejistá, jistá podporující, jistá stálá;nejistá observační, nejistá akomodační, jistá;nejistá ulpívající, nejistá stereotypní, jistá;A;
Proces postupného začleňování člověka do společnosti označujeme termínem;socializace;ontogeneze;iniciace;sociální facilitace;A;
Kterého vývojového období se týká tzv. aktivní lokomoce (tedy lezení), spojená s objevováním „světa“;batole;kojenec;předškolák;novorozenec;B;
Mezi oblasti neverbální komunikace nepatří;gestika;tektika;proxemika;mimika;B;
Pokud vymezujeme pojem postoj, nepoužijeme tvrzení;postoj je vždy naučený a vzniká tedy v průběhu socializace;jedná se o tendenci (a nikoliv zákonitost) v našich reakcích na ostatní lidi;postoj je nezávislý na předchozí zkušenosti;jde o relativně stabilní sumu názorů, která do jisté míry objasňuje chování jedinců;C;
Jak J. Piaget označil fázi kognitivního vývoje typickou pro předškolní dětí;fázi názorného, intuitivního myšlení;fázi symbolického a předpojmového myšlení;fázi formálních logických operací;fázi konkrétních logických operací;A;
Příkladem sekundární sociální skupiny nemůže být;skautský oddíl;politická strana;školní třída;rodina;D;
Mezi možné charakteristiky emocí nepatří;polarita;subjektivita;intencionalita;reverzibilita;D;
Typ komunikace, snažící se (často skrytým způsobem) jedince donutit k chování proti jeho vůli, nazýváme;manipulace;persuaze;maladaptace;malpraktice;A;
Ve kterém případě jsou potřeby (dle Maslowa) seřazeny od nejnižší po nejvyšší;potřeba sebeúcty, potřeba bezpečí, potřeby fyziologické, potřeba lásky;potřeba lásky, potřeba sebeúcty, potřeba bezpečí, potřeby fyziologické;potřeby fyziologické, potřeba bezpečí, potřeba lásky, potřeba sebeúcty;potřeba bezpečí, potřeby fyziologické, potřeba sebeúcty, potřeba lásky;C;
Mezi základní odborné časopisy, ze kterých lze čerpat relevantní informace nepatří;Moje psychologie;Psychológia a patopsychológia dieťaťa;Československá psychologie;Pedagogika;A;
Za typický sociální vývojový mezník lze považovat;samostatnou chůzi;přechod na postkonvenční stupeň morálního vývoje;nástup do školy;nástup fáze formálních logických operací;C;
Pojem vůle vyjadřuje;schopnost přesně vyplnit zadané úkoly;proces předpokládající chápání pojmů a řešení problémů;schopnost odolávat frustraci;psychickou funkci umožňující dosažení cíle;D;
Situace, kdy si lidé vytvářejí dojmy o jiných na základě svých vlastních a jedinečných teorií, popisuje;sebepercepční teorie;kognitivní disonance;teorie dominance;teorie osobních konstruktů;D;
Experiment Stanleyho Milgrama se týkal;aha efektu v procesu učení;ovlivnění kognice skupinovým názorem;poslušnosti vůči pokynům výzkumníka;komunikačních strategií ve stresu;C;
Senzitivní fáze vývoje je:;období zvýšené vnímavosti pro podněty k rozvoji určité vlastnosti nebo schopnosti;fáze, kdy matka přestává dítě kojit;období prvního roku života dítěte, kdy dochází k vyhasínání novorozeneckých reflexů;období nástupu do školy;A;
Mezi tzv. psychogenní potřeby dle Maslowa nepatří potřeba;jídla;bezpečí;lásky;náležení;A;
Fenomén, kdy lidé v určitých situacích věnují úkolu zpracovávanému skupinou menší úsilí, než kdy jej dělali sami, se nazývá;rolové chování;sociální facilitace;sociální zahálení;sociální opora;C;
Ve kterém období věku dítěte nám kresba nejvíce napoví o jeho prožívání?;v předškolním věku;na začátku puberty;na konci puberty;na konci batolecího období;A;
Při charakterizování pojmu stereotyp bychom nepoužili tvrzení;patří do oblasti utváření dojmů o druhých lidech;často bývá výsledkem zjednodušování a falešné generalizace;usnadňuje a zjednodušuje orientaci jedince ve světě;je ekvivalentem pojmu předsudek;D;
Fenomén, kdy se v zájmu shody skupiny potlačuje samostatnost a nezávislost rozhodování jednotlivce a kdy je soudržnost a solidarita skupiny důležitější než reálné zvažování faktů, nazýváme;sociální lenivost;sociální facilitace;skupinová polarizace;skupinové myšlení;D;
V době nástupu do školy by dítě mělo (vyberte nesprávné tvrzení):;odlišit práci od hry a fantazii od reality;udržet soustředěnou pozornost po celou vyučovací hodinu (45 minut);lépe než předškolák kontrolovat své emoce;umět napočítat do deseti až dvaceti;B;
Inteligenci nelze vymezit jako;schopnost vždy nalézt správnou odpověď;schopnost učit se;schopnost myslet a chápat vztahy;osobnostní vlastnost;A;
Typ myšlení (jakožto řešení problémů), které využívá NOVÉ způsoby řešení, se nazývá;ulpívavé;deduktivní;produktivní;reproduktivní;C;
Čím není dle Arneta charakterizována tzv. vynořující se dospělost;nestabilitou;"pocitem „mezi"" adolescencí a dospělostí";zaměřením se na sebe;přijetím závazků a integritou osobnosti;D;
