OTAZKA;A;B;C;D;Spravna odpoved;Vysvetleni
1. A Check Point administrator faces this situation: The Primary Security Management Server is being taken down for planned maintenance. A synchronized Secondary SMS should become the writable management server, but the team wants to avoid assuming gateway-style automatic failover. Which option is the best answer?;Manual Management HA changeover;ClusterXL automatic failover;fw fetch from the secondary;SmartEvent correlation failover;A;Management HA does not behave like gateway clustering. In a standard Management HA environment there is one Active Management Server and Standby peers are passive. A planned takeover is a manual changeover from SmartConsole. Fetch Policy affects where gateways can get policy, not which management server becomes Active.
2. A Check Point administrator faces this situation: The Active Management Server contains new policy objects, but the administrator has not published the SmartConsole session. The Standby server is synchronized and healthy, yet the new objects are not visible there. Which option is the best answer?;Install Policy before publishing;Publish the session before expecting HA synchronization;Run fw fetch localhost on the Standby SMS;Enable Compliance rescan;B;Management HA synchronizes published changes. Unpublished administrator sessions are not part of the committed management database, so they are not replicated to peers. Policy installation and Compliance rescans do not make unpublished SmartConsole work synchronize.
3. A Check Point administrator faces this situation: A Secondary SMS object was created, but Network Policy Management was not enabled before SIC was initialized. The peer is visible, but full management synchronization does not work as expected. Which option is the best answer?;Install Threat Prevention policy on the cluster;Add the server as a Network Feed;Reset SIC and re-establish trust after enabling Network Policy Management;Run CDT from Expert mode;C;For a secondary Management Server, the proper management feature must be enabled before completing the communication step. If SIC was initialized with an incomplete object role, the practical correction is to reset SIC and re-establish trust after correcting the object. Gateway upgrade tools and feeds are unrelated.
4. A Check Point administrator faces this situation: After adding a Secondary SMS, gateways still only know about the Primary SMS as a policy source. You need the gateways to be able to retrieve policy from either management server after a failover. Which option is the best answer?;Enable SmartEvent on the Secondary SMS;Create an Access Role for the SMS pair;Convert the cluster to a VPN Star community;Add the Secondary SMS to the gateway or cluster Fetch Policy list;D;Gateway and cluster objects must include the management stations from which they can fetch policy. Adding the Secondary SMS to the Fetch Policy configuration and installing policy transfers that knowledge to gateways. SmartEvent, Access Roles, and VPN topology do not solve policy-source awareness.
5. A Check Point administrator faces this situation: During a failover lab, cpstop is run on the Active SMS. The Secondary SMS is made Active and accepts changes. When the original SMS starts again, both management servers show Active states. Which option is the best answer?;Collision Mode;Fast Install Policy mode;VPN Routing mode;Compliance exception mode;A;More than one Active Management Server is not the normal HA state. If a previously active server returns while another server was manually made Active, the environment can enter Collision Mode and must be manually brought back to a consistent Active and Standby state.
6. A Check Point administrator faces this situation: A synchronized Secondary SMS is opened directly in SmartConsole. The operator can see the policy but cannot edit rules. Which option is the best answer?;The Access Control policy is locked by SecureXL;Standby Management Servers are Read Only;The VPN community has Accept all encrypted traffic enabled;The server is missing CPUSE;B;Standby management peers are passive and Read Only. Seeing the policy on the Standby server is a good synchronization check, but changes should be made on the Active server. This is not caused by VPN, SecureXL, or software update state.
7. A Check Point administrator faces this situation: An administrator suspects automatic HA synchronization failed and wants to force a complete resynchronization between peers. Which option is the best answer?;Fast Install Policy;fw fetch localhost;Manual full synchronization;Network Feed refresh;C;Manual synchronization in Management HA is an on-demand full synchronization. It is different from normal automatic synchronization after initial sync, which replicates later published changes. fw fetch concerns gateway policy loading, not management database peer synchronization.
8. A Check Point administrator faces this situation: A team wants to tune the automatic Management HA synchronization interval because the WAN link between management servers is slow. Which option is the best answer?;Change the interval in Global Properties NAT settings;Change the interval in vpn_route.conf;Change the interval in CPUSE Deployment Agent;Do not tune it because synchronization settings are preconfigured;D;The course material emphasizes that Management HA synchronization settings are preconfigured and not administrator-changeable. You can initiate manual synchronization when needed, but the automatic interval is not tuned through NAT, VPN, or CPUSE settings.
9. A Check Point administrator faces this situation: The Secondary SMS was added as a backup log server on a gateway cluster object after Management HA deployment. Which option is the best answer?;Backup log continuity for the gateway or cluster;Replacing the ICA on the Primary SMS;Enabling automatic management failover;Creating an implied VPN rule;A;Adding the secondary as a backup log server is a logging continuity configuration. It does not make Management HA fail over automatically, does not replace the ICA, and does not affect VPN implied rules.
10. A Check Point administrator faces this situation: A secondary server was set Active. SmartConsole shows a message that the connected server is now active and a writable session requires reconnecting. Which option is the best answer?;Run cpstart on every gateway;Reconnect SmartConsole to switch to Read/Write mode;Install Event Policy;Delete the peer object;B;After a changeover, a session that was connected while the server was Standby may remain Read Only until reconnecting. This is a management session behavior, not a gateway process, SmartEvent, or object deletion requirement.
