"OTAZKA";"A";"B";"C";"D";"Spravna odpoved";"Vysvetleni"
"A company has one Primary Security Management Server and one Secondary Management Server in a Management High Availability deployment. The primary server is still reachable, but the administrator wants to test whether the secondary server can take over management duties. Which statement best describes the expected failover behavior?";"The administrator must manually initiate a changeover from SmartConsole because Management HA failover is not automatic.";"The gateway cluster elects the active Management Server based on ClusterXL priority.";"The secondary server automatically becomes Active as soon as it detects the primary server is reachable but idle.";"Both servers become Active for a short time and automatically synchronize after the test completes.";"A";"In Management HA, the takeover from Standby to Active is a manual administrator-initiated changeover through the Management High Availability menu. It is not automatic like gateway clustering."
"An administrator publishes a session on the Active Management Server and expects the Standby Management Server to receive the new objects. A colleague asks whether unpublished changes from another open SmartConsole session will also be replicated. What is the most accurate answer?";"No. Only changes that have been published on the Active Management Server are synchronized to peers.";"No. Management HA synchronization only copies log files, not management database changes.";"Yes, but only after a manual full synchronization is started.";"Yes. All sessions are synchronized, including unpublished draft changes.";"A";"Management HA synchronization replicates published changes from the Active server to connected peer Standby servers. Unpublished sessions are not synchronized."
"After initial deployment of a Secondary Management Server, the administrator sees a full synchronization in Recent Tasks. Later, after publishing a small object change, the system synchronizes only the change since the previous synchronization. Which synchronization behavior is being described?";"Initial synchronization is always incremental, while later synchronization is always full.";"Initial synchronization is full, and later automatic synchronization normally synchronizes only changes since the last synchronization.";"Synchronization behavior is determined by the Security Gateway policy package.";"Manual synchronization is the only supported method after initial deployment.";"B";"After initial deployment, a full synchronization of all data and configurations is initiated. Subsequent automatic synchronizations synchronize the changes made since the last synchronization."
"A Standby Management Server cannot reach the Active Management Server. The administrator forces the Standby server to Active while the original Active server is still running but isolated. What condition is most likely when connectivity is restored?";"A ClusterXL failover state, because Management HA is controlled by cluster member priority.";"A read-only lockout on both servers until the policy is reinstalled on all gateways.";"A normal Active/Standby state, because the older Active server automatically demotes itself.";"Collision Mode, because more than one Management Server may now be Active.";"D";"Collision Mode can occur when a Standby server is changed to Active without notifying the existing Active server. In that state, the servers do not synchronize until the situation is manually resolved."
"During Management HA deployment, a new Secondary Management Server object is created in SmartConsole. The administrator establishes SIC first and only later realizes that Network Policy Management was not enabled. What is the likely consequence according to the lab guidance?";"SIC must be reset on the Secondary Security Management Server and re-established after enabling Network Policy Management.";"The gateway cluster must be reset with cpconfig before the server can synchronize.";"The server will synchronize only logs, but not policy objects, until the next reboot.";"Nothing. Network Policy Management is optional for synchronization.";"A";"The lab notes warn that Network Policy Management must be enabled before completing communication setup. If not, SIC must be reset and re-established for synchronization."
"You deployed a Secondary Management Server and synchronized it successfully. Administrators can connect to it, but it opens in Read Only mode. Which explanation is correct?";"The server is missing the Logging and Status blade, so SmartConsole disables writes.";"Read Only mode means the server is an externally managed VPN gateway, not a Management Server.";"This is expected when the server is Standby because Standby Management Servers operate in passive and Read Only mode.";"This means synchronization failed, because a synchronized peer should always be writable.";"C";"In a standard Management HA environment, only one Management Server is Active. Standby Management Servers run in passive and Read Only mode."
"After adding a Secondary Management Server, the administrator edits the Security Gateway cluster object. Which configuration is required so the gateways can fetch policy from the new management peer after a changeover?";"Move the Secondary Management Server to the Access Control Cleanup rule.";"Add the Secondary Management Server under Fetch Policy as a selected management station.";"Create a VPN community containing the Primary and Secondary Management Servers.";"Disable SIC on the cluster members and rely on certificate auto-renewal.";"B";"The gateway or cluster object must be configured so policy can be fetched from the Secondary Management Server. This is done in the Fetch Policy settings by adding the secondary server as a selected management station."
"In a Management HA environment, an administrator adds the Secondary Management Server as a Backup Log Server on the gateway cluster object. After publishing changes, what should be done to distribute the database information to the management and log servers?";"Install the database on the relevant Management and Log Servers.";"Run a VPN tunnel reset so log server topology is negotiated by IKE.";"Only reboot the Secondary Management Server because backup log server changes are local.";"Run fw fetch localhost on every administrator workstation.";"A";"The lab workflow includes publishing changes and installing the database after reconfiguring log server settings for the gateway cluster. This distributes management database changes to the selected servers."
"A Management HA peer shows a different fingerprint when connecting SmartConsole to the Secondary Management Server for the first time. What is the best way to verify that the fingerprint is legitimate from the server side?";"Open the NAT rulebase and compare the translated source field.";"Run show cluster state on the gateway cluster and compare member state.";"Run cp_conf finger get on the server and compare the value.";"Run fw fetch localhost and compare the policy package name.";"C";"The lab tip states that fingerprints can be verified by connecting to the server and running cp_conf finger get in Gaia Clish or Expert mode."
"An administrator wants to change how often automatic Management HA synchronization occurs. They look for a setting in SmartConsole but cannot find one. Which statement is correct?";"Synchronization is configured per policy package under Access Control.";"Synchronization frequency is inherited from the NTP server polling interval.";"Synchronization frequency can be changed only from Gaia Portal.";"Synchronization settings are preconfigured and cannot be changed by the administrator.";"D";"The course material states that Management HA synchronization settings are preconfigured and cannot be changed by the administrator."
