OTAZKA;A;B;C;D;Spravna odpoved;Vysvetleni
Srovnávací (komparativní) pedagogika je;teorie vzdělávání a vyučování, která stanovuje historické mezníky v historii pedagogiky;teorie orientovaná na edukaci a srovnání edukačních přístupů ke zdravé populaci a populaci s handicapem;věda označující teorie i výzkumné aktivity, které se zabývají zkoumáním a srovnáváním pedagogických jevů, charakteristik a fungování vzdělávacích systémů různých zemí;pedagogická disciplína srovnávající pedagogické a psychologické přístupy k výchově jedince;C;
Bernsteinova teorie jazykových kódů zkoumá vztah mezi;socio-kulturními charakteristikami žáků, charakteristikami jejich jazyka a výsledky žáků;výsledky žáků v mateřském jazyce a vzděláním rodičů;jazykovými kódy používanými skupinami žáků v různých vývojových fázích;vztahy a podobnostmi didaktických postupů při výuce různých cizích jazyků;A;
Zastáncem tzv. pragmatické pedagogiky, která mj. zdůrazňovala zkušenosti žáka, kterých nabývá zejména v průběhu vlastní činnosti, byl;John Dewey;Jean Jacques Rousseau;Otakar Kádner;Platón;A;
Andragogika je;je aplikovaná věda o výchově a vzdělávání mentálně postižených dospívajících;je základní pedagogická disciplína zabývající se výchovou a vzděláváním dospělých ve výkonu trestu;je aplikovaná pedagogická disciplína zabývající se vzděláváním lidí ve věku nad 60 let;je aplikovaná věda o výchově a vzdělávání dospělých lidí;D;
Co označujeme pojmem didaktický trojúhelník?;učitel, žák, učivo;metoda, prostředek, cíl;cíl výuky, didaktika, výsledky;škola, rodiče, žáci;A;
Rámcové vzdělávací programy přinesly tyto novinky;přesné učební plány, pevné osnovy a standardy;státní maturity a plošné testování;klíčové kompetence, průřezová témata, očekávané výstupy a vzdělávací oblasti;klíče pro jednotné a spravedlivé hodnocení výsledků žáků;C;
Klíčové kompetence bývají obvykle definovány jako;schopnosti účinně jednat;kompetence vedoucí k profesionalitě;schopnosti zvládnout mateřský a alespoň jeden cizí jazyk;kompetence ke zvládnutí informačních technologií a alespoň jednoho cizího jazyka;A;
Bílá kniha je;dokument MŠMT určující nepovinné učivo v Rámcových vzdělávacích programech;dokument MŠMT dokumentující rozvoj vzdělanosti po roce 1989 v ČR;dokument MŠMT obsahující návrhy restrukturalizace českého školství po roce 1989;dokument MŠMT naznačující strategické linie českého vzdělávání;D;
O frontálním vyučování hovoříme, když;žáci pracují ve skupinách, role učitele je pomocná a instruktážní;se žáci vzdělávají v terénu prostřednictvím přímých zkušeností a zážitků;učitel zprostředkovává výklad a zaujímá dominantní roli;žáci samostatně volí témata a cíle výuky;C;
Pro výuku vedenou v duchu konstruktivistické teorie je typické;práce s žákovými prekoncepty, aktivita žáka, učitel je průvodcem žáka;sledování reakcí žáka ve vazbě na zadaný podnět, učitel oceňuje a posiluje správné chování;vytváření hodnotově orientovaných postojů žáka, učitel je rádcem;rozvoj personálních forem inteligence žáka, učitel je modelem chování;A;
Didaktickým testem se prověřuje/prověřují zejména;osobnost a postoje žáka;znalosti, resp. vědomosti žáka;didaktická znalost učitele;učitelovo pojetí výuky;B;
Proces, který se zaměřuje na zjišťování a analýzu dat odrážejících stav a vývoj určitých jevů vzdělávací reality, tj. monitorování a měření těchto jevů, se obvykle nazývá;pedagogická orientace;pedagogická diagnostika;pedagogická evaluace;pedagogický monitoring;C;
Psychodidaktika je;oborová didaktika zaměřená na výuku psychologie;metoda rychlého zapamatování vycházející z poznatků behaviorální psychologie;interdisciplinární teorie, která integruje poznatky z obecné didaktiky a psychologie;interdisciplinární teorie, která integruje poznatky z obecné didaktiky a patopsychologie;C;
Inkluzivní vzdělávání je;společné vzdělávání žáků „zdravých“ i žáků se speciálními vzdělávacími potřebami;vytváření speciálních tříd pro žáky se speciálními vzdělávacími potřebami uvnitř běžné školy;výuka žáků se zdravotním postižením ve speciálních školách;vzdělávání s asistencí zaměřené na vyrovnání sociálního handicapu žáka;A;
O mentálním postižení (retardaci) hovoříme, má-li jedinec IQ;nižší než 90;nižší než 80;nižší než 70;nižší než 60;C;
Zkratkou ADHD označujeme;poruchu zrakové percepce;hyperkinetický syndrom s poruchou pozornosti;poruchu pozornosti s vadou řeči;hypokinetickou kognitivní poruchu;B;
Specificky narušený vývoj řeči, který se projevuje sníženou schopností či neschopností komunikovat, i když podmínky pro rozvoj řeči jsou přiměřené, nazýváme;vývojová dysfázie;dyslexie;dysartrie;dyslalie;A;
Do skupiny žáků se zdravotním postižením nepatří podle zákona 561/2004 Sb., žáci:;s vadami řeči;se specifickými poruchami chování;se specifickými poruchami učení;s nařízenou ústavní nebo ochrannou výchovou;D;
Dysortografie je;porucha čtení;porucha psaní;porucha pravopisu;porucha řeči;C;
Etopedie se zabývá;rozvojem, výchovou a vzděláváním dětí, mládeže a dospělých, kteří mají poruchu chování;rozvojem, výchovou a vzděláváním dětí, mládeže a dospělých, kteří mají poruchu učení;rozvojem, výchovou a vzděláváním dětí, mládeže a dospělých, kteří mají poruchu intelektu;rozvojem, výchovou a vzděláváním dětí, mládeže a dospělých, kteří mají sociální handicap;A;
Vzdělávání dětí, žáků a studentů se speciálními vzdělávacími potřebami a vzdělávání žáků mimořádně nadaných se podle vyhlášky 147/2011 (kterou se mění vyhláška č. 73/2005 Sb.,) uskutečňuje s využitím;integrace a diferenciace;vyrovnávacích a podpůrných opatření;pomáhajících a kontrolních opatření;integračně intervenčních opatření;B;
Školní psychologové;mohou pracovat v základních i středních školách, obvykle v tzv. školních poradenských pracovištích, mohou být zaměstnanci školy;mohou být pouze zaměstnanci pedagogicko-psychologických poraden, legislativa dosud neumožňuje jejich zaměstnávání ve školách;mohou být zaměstnanci základních i středních škol a mohou nahrazovat práci výchovného poradce a metodika prevence;jsou dnes běžnou součástí škol, základní školy mají podle vyhlášky 116/2011 Sb., povinnost zaměstnávat vedle výchovných poradců a metodiků prevence také školní psychology;A;
Pojem lateralita označuje;nerovnoměrnost párových orgánů jako odraz dominance jedné z mozkových hemisfér;synonymum ambidexterie;základní literární gramotnost žáka;ustrnutí v latentní fázi vývoje (mladší školní věk) podle vývojové teorie S. Freuda;A;
Myšlení generující více výsledků řešení je;myšlení konvergentní;myšlení unovergní;myšlení divergentní;myšlení multivergní;C;
Inteligence je;vrozená vlastnost osobnosti;schopnost, kterou lze do určité míry rozvíjet po celý život;schopnost, která se po 15 roce věku již nemění;kognitivní dovednost, jejíž rozvoj nezávisí na vrozených dispozicích;B;
Pojmem coping proces se v psychologii obvykle označuje;proces nápodoby u dětí v batolecím období;proces nápodoby procesů učení v mladším školním věku;způsob zvládání stresových situací;způsob reakce na provinění žáka;C;
