OTAZKA;A;B;C;D;Spravna odpoved;Vysvetleni
Incentivou se v psychologii rozumí;vytvoření nového pojmu při učení;vnitřní pobídka v motivačním procesu;vnější pobídka v motivačním procesu;nový podnět v podmiňování;C;Incentiva je vnější podnět nebo pobídka, která může aktivovat motivované chování.
Mentoring je;nová forma vzdělávání učitelů spočívající výhradně v supervizi;forma supervize pouze pro vedení školy;forma kolegiální podpory při profesním růstu;podpora výhradně začínajícím učitelům;C;Mentoring je širší forma kolegiální podpory, která může pomáhat začínajícím i zkušenějším pracovníkům.
Za rizikové školní tresty se považují zejména;zákaz zájmové činnosti, trest učením, psychické a fyzické tresty;sebehodnocení a reflexe;odčinění následků a přiměřená náhrada škody;pochvala a povzbuzení;A;Rizikové jsou tresty ponižující, fyzické, psychicky zraňující nebo narušující vztah k učení.
Pro humanistickou psychologii je typické;popis reakce na podnět bez vnitřního prožívání;dekonstrukce textů;hledání a podpora potenciálu člověka;práce výhradně s nevědomou motivací;C;Humanistická psychologie zdůrazňuje růst, seberealizaci, potřeby a respekt k osobě.
Lidé, kteří věří, že úspěch závisí hlavně na jejich vlastním jednání, jsou podle locus of control;intrapersonalisté;intrapunitivisté;vnitřní externalisté;internalisté;D;"Internalista přisuzuje kontrolu nad výsledky především sobě; externalista vnějším okolnostem."
Autorem pojmu zóna nejbližšího vývoje je;Jean Piaget;Erik Erikson;Sigmund Freud;Lev S. Vygotskij;D;Vygotskij popsal rozdíl mezi aktuální a potenciální úrovní výkonu dítěte při podpoře druhých.
Školní způsobilost označuje;pouze dovršení šestého roku věku;schopnost zvládnout gymnázium;psychickou zralost a připravenost dítěte k zahájení školní docházky;nabytí všech klíčových kompetencí z RVP;C;Školní způsobilost zahrnuje zralost a připravenost v kognitivní, sociální, emoční i pracovní oblasti.
Maslowova pyramida potřeb neobsahuje jako standardní kategorii;potřeby bezpečí;potřeby hodnotové;potřebu sebeaktualizace;potřeby uznání;B;Klasické Maslowovo schéma obsahuje fyziologické potřeby, bezpečí, sounáležitost, uznání a sebeaktualizaci.
Coping označuje;způsob zadávání domácích úkolů;proces nápodoby u dětí;metodu čtení;způsob zvládání stresových situací;D;Coping jsou strategie, jimiž člověk zvládá stres a zátěž.
Myšlení generující více možných řešení se nazývá;multivergní;konvergentní;divergentní;unovergní;C;"Divergentní myšlení hledá více alternativ; konvergentní směřuje k jedné správné odpovědi."
Inteligence je nejlépe chápána jako;dovednost nezávislá na dispozicích;schopnost neměnná po 15. roce;schopnost, kterou lze do určité míry rozvíjet po celý život;vrozená vlastnost, kterou nelze rozvíjet;C;Inteligence má vrozené předpoklady, ale její rozvoj ovlivňuje prostředí, učení a zkušenost.
Pojem lateralita označuje;ustrnutí ve Freudově latentní fázi;synonymum ambidexterie;nerovnoměrnost párových orgánů jako odraz dominance jedné hemisféry;základní literární gramotnost;C;Lateralita vyjadřuje funkční převahu jednoho z párových orgánů, například ruky, oka nebo nohy.
Pedagogická psychologie se zabývá především;psychologickými zákonitostmi výchovy, vzdělávání a učení;výhradně psychologií práce v továrnách;jen klinickou diagnostikou dospělých;léčbou neurologických poruch;A;Pedagogická psychologie aplikuje psychologii na procesy učení, výuky, výchovy a školního prostředí.
Školní psychologie se zaměřuje hlavně na;psychologické služby ve škole pro žáky, učitele a rodiče;tvorbu školních zákonů;řízení školní jídelny;výhradně výuku psychologie jako předmětu;A;Školní psychologie řeší poradenství, prevenci, klima, intervenci a podporu učení ve školním kontextu.
Behaviorismus vysvětluje učení zejména jako;výhradně vrozený proces zrání;změnu chování na základě podnětů, reakcí a posilování;svobodné hledání smyslu bez vlivu prostředí;působení archetypů kolektivního nevědomí;B;Behaviorismus zdůrazňuje pozorovatelné chování, podmiňování a posilování.
Kognitivní psychologie ve vzdělávání zdůrazňuje;výhradně tresty;odmítání vnitřních procesů;pouze svalové reakce;zpracování informací, paměť, myšlení a strategie učení;D;Kognitivní přístup zkoumá, jak žák informace přijímá, organizuje, ukládá a používá.
Humanistický přístup k žákům podporuje;manipulaci odměnami bez vztahu;výhradně autoritářskou kontrolu;ignorování emocí;respekt, autonomii, smysluplnost a rozvoj potenciálu;D;Humanistický přístup vychází z důstojnosti člověka a potřeby růstu.
Pojem Biologická determinace vývoje v pedagogické psychologii nejlépe označuje;jen školní řád;pouze vliv známek;vliv dědičnosti, zrání nervové soustavy a tělesného vývoje;výhradně volbu učebnice;C;Biologická determinace vývoje je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Sociální determinace vývoje v pedagogické psychologii nejlépe označuje;jen tělesnou výšku;výhradně genetické faktory;pouze reflexy;vliv rodiny, školy, vrstevníků a kultury;D;Sociální determinace vývoje je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Piagetova teorie v pedagogické psychologii nejlépe označuje;psychosexuální stadia;výhradně posilování reakcí;vývoj kognitivních struktur a stadií myšlení;pyramidu potřeb;C;Piagetova teorie je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Vygotského teorie v pedagogické psychologii nejlépe označuje;vrozené archetypy;sociální zprostředkování učení, jazyk a zónu nejbližšího vývoje;neměnnost inteligence;učení jen trestem;B;Vygotského teorie je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Kolbův cyklus učení v pedagogické psychologii nejlépe označuje;jen memorování definic;konkrétní zkušenost, reflexi, zobecnění a experimentování;pouze trestání chyb;výhradně klasifikaci;B;Kolbův cyklus učení je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Korthagenův reflektivní model v pedagogické psychologii nejlépe označuje;frontální výklad bez reflexe;systematickou reflexi pedagogické zkušenosti;diagnostiku zraku;automatické známkování;B;Korthagenův reflektivní model je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Styl učení v pedagogické psychologii nejlépe označuje;neměnnou diagnózu inteligence;druh školního zákona;trest za chyby;preferovaný způsob přijímání a zpracování informací;D;Styl učení je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Metakognice v pedagogické psychologii nejlépe označuje;školní docházku;uvědomování a řízení vlastního poznávání a učení;pouhé opisování;fyzickou koordinaci;B;Metakognice je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Autoregulace učení v pedagogické psychologii nejlépe označuje;trestání chyb;pouze vnější kontrolu učitelem;plánování, monitorování a hodnocení vlastního učení;náhodné učení bez cíle;C;Autoregulace učení je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Prokrastinace v pedagogické psychologii nejlépe označuje;diagnostiku nadání;odkládání úkolů navzdory negativním důsledkům;rychlé dokončování práce;skupinovou dynamiku;B;Prokrastinace je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
